title,date,question,answer
Will Organized Human Life Survive?,"May 04, 2018",How would you explain the casual reaction of people around you to the news of the atom bombing of Hiroshima?,"People listened, a few expressions of relief, and then everyone went on to their next activity: a baseball game, swimming, whatever it might be."
Will Organized Human Life Survive?,"May 04, 2018",Why do you think the world hasn't taken the threat of nuclear weapons more seriously since the bombing of Hiroshima?,"It’s clear that once the technology was established it would only develop further and escalate and reach the point of becoming what Dan Ellsberg in his recent book calls “the doomsday machine,” an automatic system set up so that everything becomes annihilated."
Will Organized Human Life Survive?,"May 04, 2018",What drives the leading nuclear specialists' concern about the severe and mounting threat of nuclear war?,"Among others, General Lee Butler — formerly head of the US Strategic Command, which controls nuclear weapons and nuclear weapons policy — he recently reflected with deep remorse on his many years of service, in implementing plans for what is sometimes called “omnicide,” a crime far surpassing genocide."
Will Organized Human Life Survive?,"May 04, 2018","In your analysis, why does the lack of concern about the possible termination of organized human life persist?","Leading specialists in these topics echo much the same double concern, but now in more stark and urgent terms than 1945. One of the leading nuclear specialists, former defense secretary William Perry, has been touring the country recently, with the message that he is, as he puts it, doubly terrified."
Will Organized Human Life Survive?,"May 04, 2018","How would you describe the record of human behavior with regards to nuclear weapons, as per Daniel Ellsberg's description?",Ellsberg in his most recent book describes the record as a chronicle of human madness.
Will Organized Human Life Survive?,"May 04, 2018","What authority, according to General Lee Butler, do succeeding generations of leaders in the nuclear weapons states usurp that allows them to dictate the odds of continued life on our planet?","He adds a haunting question, “By what authority do succeeding generations of leaders in the nuclear weapons states usurp the power to dictate the odds of continued life on our planet?"
Will Organized Human Life Survive?,"May 04, 2018",What does Butler emphasize as the most urgent issue in the context of the nuclear threat?,"And most urgently, why does such breathtaking audacity persist at a moment when we should stand trembling in the face of our folly, and united in our commitment to abolish its most deadly manifestations?"
Will Organized Human Life Survive?,"May 04, 2018",How does Ellsberg characterize the repeated near-misses of terminal nuclear disaster in his book?,Sometimes it is due to the sheer luck and divine intervention that we have survived the nuclear age so far.
Will Organized Human Life Survive?,"May 04, 2018","What, according to you, should be the response of the people to the threat of nuclear war and the lack of concern about it?","It’s your challenge to answer it, it can’t be delayed."
The Unipolar Moment and the Culture of Imperialism,2020,How do you view Edward Said's greatest singular achievement as a literary critic?,"I think the greatest singular achievement of Said, as a literary critic, has been to put imperialism at the center of Western civilization."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"In your perspective, what role does imperialism play in shaping the contours of Western civilization according to Western literature and historical writing?","What you find in both historical, political literature and literary works in the West in the last 400 years is a great emphasis on the role of enlightenment in the making of civilization and its discourse. You find a great deal of emphasis on rationalism ... on democracy and democratic values, and on liberalism, as an aspect of enlightenment. There is an almost remarkable tendency to not mention imperialism as shaping the contours of Western civilization."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"Could you elaborate on the impact of Edward Said's work on the way we understand the ""culture of imperialism""?",Among Edward Said’s many achievements was to draw the “culture of imperialism” from the shadows and explore its deep roots and pervasive implications in many domains.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"Why do you think that the ""culture of imperialism"" has been hidden in the shadows for so long?",In literary criticism and historical writing there are two times: before Orientalism and after Orientalism.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"What specific manifestations of the ""culture of imperialism"" would you like to explore in your talk, focusing on the unipolar moment?","In these remarks, I will try to explore some of its specific manifestations, focusing on the events that opened the way to the famous “unipolar moment” of unchallenged US global hegemony 20 years ago and the ways in which these are remembered on the 20th anniversary now being celebrated."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"To understand the roots of imperial ideology, could you give us an example of unambiguous cases?",We can gain a sense of how deep are the roots of imperial ideology by considering unambiguous cases.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,What do the English colonists in North America tell us about their understanding of settler colonialism?,The English colonists in North America had no doubts about what they were doing.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"How did General Henry Knox, the first Secretary of War in the newly liberated American colonies, describe the treatment of the native population?","Revolutionary War hero General Henry Knox, the first Secretary of War in the newly liberated American colonies, described “the utter extirpation of all the Indians in most populous parts of the Union” by means “more destructive to the Indian natives than the conduct of the conquerors of Mexico and Peru,” which would have been no small feat."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,What were the views of John Quincy Adams on the treatment of the native population?,"In his later years, after his own contributions to these crimes were past, John Quincy Adams lamented the fate of “that hapless race of native Americans, which we are exterminating with such merciless and perfidious cruelty, among the heinous sins of this nation, for which I believe God will one day bring [it] to judgement.”"
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,How did Supreme Court Justice Joseph Story interpret the disappearance of the native population?,"Some offered a more comforting refrain, among them Supreme Court Justice Joseph Story who wondered at the mysterious ways of Providence, which in its “wisdom” caused the natives to disappear like “the withered leaves of autumn” even though the colonists had “constantly respected” them."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"In what way has the work of distinguished contemporary commentators, like the Yale historian John Lewis Gaddis, reinterpreted the ""wisdom of Providence"" in secular terms?",Distinguished contemporary commentators reinterpret the wisdom of Providence in secular terms.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"According to Gaddis, how has the doctrine of ""expansion is the path to security"" been applied throughout the history of the ""infant empire""?","The prominent Yale historian John Lewis Gaddis hails Adams as the grand strategist who laid the foundations for the Bush Doctrine: the doctrine that “expansion is the path to security” — a convenient doctrine, for those who can get away with it, or who have powerful patrons. With evident appreciation, Gaddis observes that the doctrine has been routinely applied throughout the history of the “infant empire,” as George Washington termed the new Republic."
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
The Unipolar Moment and the Culture of Imperialism,2020,"How does Gaddis pass over the gory contributions of John Quincy Adams to the ""heinous sins of this nation""?",He passes in silence over Adams’s gory contributions to the “heinous sins of this nation” as he established the doctrine in a famous State paper justifying the conquest of Florida.
ae752288,2020,"(Edward Said Memorial Lecture)""",12/3/2009
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","The Bulletin of Atomic Scientists has recently put the hands of the doomsday clock to 100 seconds before midnight. Midnight means all-out war, probably nuclear holocaust. This is the closest it has ever been. Do you agree with this dire assessment?","fair assessment, unfortunately. The BAS analysts cited three major increasing threats: nuclear war, environmental destruction, and what some have called an “infodemic,” the sharp decline in rational discourse — the only hope for addressing the existential crises. Every year that Trump was in office, the minute hand moved closer to midnight. Two years ago the analysts abandoned minutes and turned to seconds. Trump steadily escalated all three threats. It’s worth reflecting on how close the world came to an indescribable catastrophe last November. Another 4 years of Trump’s race to the abyss might have had incalculable consequences. His worshippers of course don’t see it this way, but, remarkably, the same is true of segments of the left. In fact, liberal litanies of his abuses also largely skirt his major crimes. Worth consideration when we recognize that he or some clone might soon regain the levers of power. Also worth consideration are the warnings by thousands of scientists that we are approaching irreversible tipping points in environmental destruction. We can read all about it in Aljazeera."
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","The U.S. always portrays itself as the greatest force on the planet for peace, justice, human rights, racial equality, etc. Polls tell us that most other nations actually regard the U.S. as the greatest threat to stability. What in your view is the truth here?","Even during the Obama years, international polls showed that world opinion regarded the US as the greatest threat to world peace, no other country even close. Americans were protected from the news, though one could learn about it from foreign media and dissident sources. Sometimes illustrations are reported. Thus there has been some mention of the recent UN vote condemning the savage Cuba sanctions, virtually a blockade: 180-2 (US-Israel). The NY Times dismissed it as a chance for critics of the US to blow off steam. That’s quite normal. When there are reports of how the world is out of step, the usual framework is curiosity about the psychic maladies that lead to such pathological failure to recognize our nobility. There’s nothing new about that stance. It’s typical of imperial cultures. Even such an outstanding figure as John Stuart Mill wondered about the world’s failure to comprehend that Britain was an angelic power, sacrificing itself for the benefit of the world – at a moment when Britain was carrying out some of its most horrifying crimes, as he knew very well."
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","Here’s a chicken-or-egg question: The U.S. accuses both Russia and China of rapidly expanding their military capabilities, claiming its own posturing and increase in weaponry is a response to its hostile adversaries, Russia and China. Both Russia and China claim they are merely responding to intimidation and military threats posed by the U.S. What’s your view? Do Russia and China have imperial ambitions or are they just trying to defend themselves against what they see as an increasingly aggressive U.S. military?","Some background facts may be useful. According to the major international monitor, SIPRI, “The growth in total [military] spending in 2020 was largely influenced by expenditure patterns in the United States and China. The USA increased its military spending for the third straight year to reach $778 billion in 2020,” as compared with China’s increase to $252 billion (far less per capita of course). In fourth place, below India, is Russia: $61.7 billion. The US is alone in facing no credible security threats, apart from alleged threats at the borders of adversaries, who are ringed with US nuclear-armed missiles in some of the 800 US military bases around the world (China has one, Djibouti). There have been international efforts to prevent the militarization of outer space, a major threat to survival. They have been initiated primarily by China and Russia, blocked for many years by Washington."
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","The number of spy missions, nuclear-armed bomber flights, and war games near Russia’s borders has vastly increased over the past year. Same with China. Is all of this just business-as-usual geopolitical posturing? Or does it represent a dangerous escalation and a new ominous direction in U.S. strategic positioning? What is the justification for what Russia and China see as provocations and aggressiveness, if not actual preparation for a war?","It’s extremely dangerous. Strategic planning has been redesigned to focus on war with China and Russia. Provocative actions have been taken on their borders, already bristling with US offensive weapons. China is violating international law in the South China Sea – though the US, the only maritime power not to have ratified the UN Law of the Sea, is not in a strong position to object. The right response to China’s violations is not a dangerous show of force but diplomacy and negotiations, led by the regional states most directly involved. The major threat is over Taiwan. Again thoughtful diplomacy, not provocative actions, can avert what could be disastrous."
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","In a democracy, at least in theory citizens have a say in all matters of public policy. Yet, in the end none of the recent military campaigns and undeclared wars seem to achieve much popular favor or support. What is and what should be the role of everyday citizens in determining the foreign policy and military priorities of the country? Or are such matters better left to the “experts”?","According to the Constitution, Article I, Congress has the sole right to declare war. But that provision has long been dispatched to the ashcan, along with other inconvenient provisions of the document that we are taught to revere. In a functioning democracy, citizens should have the primary role in affairs of the state. Not here. And they should be informed citizens. Not here. World War I is a classic example. In 1916, Wilson won on a platform of “peace without victory.” He then launched an impressive propaganda campaign to inflame a pacifist population with bitter hatred of all things German, fortified with fabrications about Hun atrocities concocted by the British “Ministry of Information”; Orwellism was alive and well long before Orwell. It was highly successful. It wasn’t the first such occasion, nor the last. State propaganda remains highly effective, everywhere we turn, reinforced by the loyal media and intellectual class. striking example, with considerable import, was just released a few hours before I sat down to write: “more Americans think Iran possesses nuclear weapons than think Israel does. While Israel has been known to possess nuclear weapons for decades (without officially acknowledging it) and Iran is not known to have ever possessed any, the American public perception presumes a different reality: 60.5%, including 70.6% of Republicans and 52.6% of Democrats, say Iran possesses nuclear weapons — compared to 51.7% who say Israel does, including 51.7% of Republicans and 51.9% of Democrats.”. The achievements of unremitting propaganda can be quite stunning. Again, the media help in a variety of ways. To take one highly relevant case, the NY Times editors recently joined virtually the entire world, including Iran, in calling for a nuclear weapons-free zone in the Middle East. That would end the alleged threat of Iranian nuclear weapons and radically reduce severe and very dangerous regional tensions. One small matter was omitted in the editors’ proposal: Israel, the one regional power with nuclear weapons, in fact, a formidable supply. Also omitted was why this critically important proposal is not implemented: the US blocks it, to ensure that Israel’s massive armaments will not be inspected. In fact, the US government refuses to recognize officially that Israel has nuclear weapons, though it is not in doubt. If it were to do so, US law might become applicable, arguably banning all aid to Israel. Best for the rabble not to know that their lives are being threatened in order to protect Israel’s malfeasance and US participation in it."
What are the Prospects For Peace: an Interview With Noam Chomsky,"August 27, 2021","Related to that, the citizenry and most of Congress are kept in the dark with respect to special missions, proxy funding, CIA operations, and swaths of unknown unknowns constituting psyops, cyber ops, and regime change ops, all done in our name as U.S. citizens. The funds to support this sprawling “dark world” of sabotage and terror being inflicted on the rest of the planet, is also a secret. Now there’s pervasive spying on U.S. citizens right here at home. What place does any of this have in “the land of the free”? Does this mean government of the people, by the people, for the people is just a sham?","If we let it be a scam. In the opening passage of one of the first major modern works of political science, a wise man – David Hume – pointed out that “power is in the hands of the governed.” If they choose to exercise it. And if they go on to take the reins of government into their own hands in a “cooperative commonwealth,” the aspiration of American workers and farmers in the late 19thcentury. Crushed by state-business violence."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","This week who better to speak with about a combination of domestic and international crises, from violence in Syria to the Democratic presidential race in the U.S., than the legendary writer, activist, and political theorist, Noam Chomsky. Wanna know what he makes of impeachment too?","I mean, Trump is impeachable 100 times over. He’s a major crook. Is it politically wise? I frankly doubt it. MH:Today, in a special episode of Deconstructed, I speak to the one, the only, Noam Chomsky. My guest today has been a scathing critic of U.S. presidents, and especially U.S. foreign policy, for more than 50 years. He rose to prominence as an outspoken opponent of the Vietnam war and was even included on Richard Nixon’s Enemies List. An academic, activist and best-selling author, he’s been described as “the founding father of linguistic philosophy,” but he’s best known today as the intellectual hero to anti-capitalists, anti-imperialists, socialists and anarchists. I’m talking of course about Noam Chomsky, who is often referred to as one of the 10 most quoted sources in the humanities, along with Shakespeare and the Bible, and yet you rarely if ever, see him quoted, published or invited onto the mainstream media, whether it’s the New York Times op-ed page or CNN primetime."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","Chomsky, the arch-anti-interventionist surprised a lot of people last year on my colleague Jeremy Scahill’s Intercepted podcast, when he said that the U.S. should maintain a troop presence in Syria in order to deter Turkish aggression against the Kurds. Does he still feel that way today, in the wake of President Trump’s controversial withdrawal of U.S. troops? And what’s his view on impeaching Trump and on the presidential prospects of his old friend Senator Bernie Sanders?","Recently — and I should add shortly before Donald Trump announced the death of ISIS leader Abu Bakr Al Baghdadi — Noam Chomsky joined me for an interview from his new academic base at the University of Arizona, where, aged 90, he’s now laureate professor in the Department of Linguistics and chair of an environment and social justice program. [Music interlude.] MH:Professor Chomsky, thanks for joining me on Deconstructed. Very pleased to be with you. MH:In recent weeks, we’ve seen some pretty gruesome images coming out of northeastern Syria, rebel groups backed by Turkey on the offensive killing and mutilating, not just Kurdish fighters from the SDF, the U.S.-backed Syrian Democratic Forces, but women and children too. Announcer [translated from Arabic]:This house you see here, there were children playing. A motor fell and killed a boy. The girl she lost her leg."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019",MH:Am I right in saying that you didn’t support President Trump’s decision to withdraw U.S. troops from the front lines in Syria?,"That’s correct. For a long time, I’ve been trying to organize support for opposition to the withdrawal."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019",MH:And why is that?,"Because the, from the left at least, the call for withdrawal was based on anti-imperialist principles. But principles have to be understood in connection with the human reality of the existing circumstances. A small, U.S. contingent with the sole mission of deterring a planned Turkish invasion, which was obvious, is not imperialism. It’s protecting the Kurds from an expansion of the atrocities and massacres that Erdogan has been carrying out both within Turkey itself and in the areas of Syria that he’s already conquered."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","MH:And a lot of people listening especially on the left might be surprised to hear you say this. They might say Noam Chomsky, we associate him with anti-interventionism, with opposition to U.S. foreign policy, and U.S. military interventions abroad. Why are the Kurds the exception to that, you know, life-long, career-long opposition to U.S. military interventions, especially in the Middle East?","If you take a look at what’s happening, it’s not intervention. Syria was already invaded by Turkey. The troops that are there were essentially doing nothing except deterring an expansion of a further invasion. You have to not deal with slogans as if it’s a religious catechism. You have to ask how they apply in particular to complex human circumstances. MH:I take your point. But I do want to explore this a bit more broadly because I’ve agreed with a lot of what you’ve written over the years in terms of U.S. foreign policy in Afghanistan, in Iraq, in Latin America. And as you know, and you’ve written so eloquently on, a lot of these interventions, invasions, bombing campaigns, regime changes, are justified on humanitarian grounds, with leaders saying what you’re saying that we should protect civilians. A liberal interventionist listening to you speaking now might say, “Well, why didn’t Noam Chomsky support the Kosovo intervention to protect Albanians? Why didn’t he support a no fly zone for Syrian Arabs in Idlib or Aleppo who were being bombed by Assad? Why only the Kurds?” Let’s take your first example, Kosovo. I opposed the NATO bombing because it was known both to the Clinton administration and to the press, which refused to report it, that the bombing would radically increase the level of crimes and atrocities against the people in Kosovo. General Wesley Clark informed the Clinton administration weeks earlier that that’s exactly what would happen. He informed the press when the invasion began that that’s what was gonna happen. The reason I opposed it was because there were diplomatic options available. And instead, NATO, meaning the U.S., chose to undertake a major military attack consciously knowing that it would greatly increase atrocities as the Serbs couldn’t react by bombing Washington. So they’d react on the ground. You have to ask yourself, in each circumstance, what are the consequences of your decisions? If you don’t do that, you’re not a moral human being. Now you’re perfectly right that every monster you can think of in history has declared that whatever acts they’re going to carry out are for humanitarian reasons. Now, if you have a brain functioning, what you do is ask is this correct? Or isn’t it correct? You don’t say, because Hitler said it was a humanitarian intervention in the Sudetenland therefore, there are no humanitarian interventions."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","MH:No, of course, but in Syria, for example, as you know, very complicated conflict with people, you know, people of good faith and bad faith on many sides. There are a lot of Syrian Arabs who would say, why didn’t Noam Chomsky ask for U.S. troops to protect us when we were being butchered by Assad? Why only for the Kurds when they’re being butchered by Erdogan?","Because there was no way for a small contingent of U.S. troops to deter Assad. What in fact was done was that under Obama when they were still planning to overthrow the regime, the CIA was providing heavy weapons to the rebels who were by then mostly jihadi rebels. Newscaster:There’s word tonight that the CIA has been delivering weapons to rebels in Syria over the last two weeks. According to the Washington Post, the Obama administration is sending vehicles and other equipment to boost the muscle of rebel fighters in Syria’s two-year civil war. They in fact, slowed down Assad’s advance, but quite predictably, they brought the Russians in to escalate the conflict. Newscaster:There’s growing concern among top officials in the Defense Department over Russia’s growing involvement in Syria’s civil war. It’s escalating by the day and so are the risks of a confrontation with the U.S. So yes, you have to ask yourself, what are the likely predictable consequences in every situation? You can’t find formulas in human affairs that will determine the action in every particular case. MH:And just on Iran, because as you well know, a lot of U.S. politicians, especially on the right, they want American troops in Syria, partly to “deter Iran.” Mitt Romney:At a time when we’re applying maximum pressure on Iran by giving them a stronger hand in Syria, we’ve actually weakened that pressure. Lindsey Graham:President Trump, if you remove all of our forces from Syria, you’re throwing the Kurds over. ISIS will come back on your watch and Iran will take over."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","MH:How worried are you about a U.S. attack on Iran next year? Because it’s election year and with Trump behind in the polls, I for one can see the appeal for Trump of launching a new war in the Middle East in the run up to November?","Well, first of all, let’s separate those two issues. A small contingent of troops to deter Turkish aggression would have nothing to do with Iran. So we put that aside, what are the prospects for a war against Iran? It’s hard to say. I don’t think the Trump administration could answer. I don’t think they want a war. A war could have extremely harsh effects not only out of Iran, but much more generally. So for example, Saudi Arabia’s major oil production, almost all the oil production is in the northeast corner right in the Shiite areas, very close to Iran. They have missile capacities. They could devastate one of the main oil producers in the world. There could be many other consequences. So I don’t think the United States wants a war with Iran. What they want to do is torture Iranians as much as possible in the hope that destruction of the economy will lead to some breakdown inside Iran. But that can easily get out of hand. Any accidental incidents in the Gulf, could blow up suddenly and could lead to an attack. Newscaster:Tensions on the rise in the Persian Gulf once again. The United States says Iran is behind attacks on oil tankers in the Gulf. Now, lawmakers say the Trump administration says it already has the legal authority to begin a war with Iran. It wouldn’t really be an invasion. The U.S. is not going to invade Iran. That’s much too costly. It would be an attack from a safe distance."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","MH:And of course, as you say, that could escalate as well. No one knows what the unintended consequences of such dangerous action could be. I want to talk about the Donald Trump presidency especially with impeachment on the cards. But before I do, does the seemingly global rise of the far right, of authoritarianism, and nativism from Putin to Orban to Duterte to Narendra Modi in India, how much does that worry you? And what do you think is driving it at this moment in human history?","Of course, it’s worrisome. It’s very hard to detect geo-strategic planning in the chaos of the Trump administration, which is highly personalized, and so, yeah, megalomaniac, and so on. But you can kind of detect something. MH:Yeah. The effort which is overt in Steve Bannon’s case to construct a kind of a reactionary international which will consist in the Middle East of the most reactionary states in the region, Saudi Arabia. Donald J. Trump:The Crown Prince of Saudi Arabia, a friend of mine. You’ve done really spectacular job. United Arab Emirates, Egypt under the Sisi dictatorship. DJT:Egypt has a great leader. He’s highly respected. He’s brought order. Israel, which is now far to the right. DJT:Netanyahu, a very special man. He’s done a great job. To be kind of a base for U.S. power in the region. And that extends beyond to try to bring Modi’s India into it. DJT:Prime Minister Modi is doing a truly exceptional job for India. Orban is another case. Salvini in Italy, Farage if he emerges in the post-Brexit period. Bolsonaro in Brazil."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019",MH:But is there a particular social or economic or political driver of all this that links all this together?,"Sure, yeah, it’s very simple and straightforward. Forty years of the neoliberal assault on the general population which has been extremely harmful almost everywhere. It’s led to anger, resentment, contempt for institutions. And when you have a period of unfocused anger, resentment and so on, it’s fertile territory for demagogues to arise, and try to mobilize it, and blame it, not on its sources. So, like not on the international financial institutions that are lying behind it to a substantial extent. But to focus it on scapegoats. Typically, people even more vulnerable than you are, immigrants, Muslims, Afro-Americans. This goes way back to Ronald Reagan’s “Welfare queens” and so on and many other demagogues in the past. So yes, that’s rising. There are also counter-forces that are rising. Now they’re very significant. It’s pretty common these days to quote Gramsci’s famous — MH:Interregnum. Yeah, Interregnum with morbid symptoms, but there are morbid symptoms and there are positive symptoms. And it’s a real question which will prevail."
Deconstructed Special: The Noam Chomsky Interview,"October 31, 2019","MH:Let’s talk about Donald Trump specifically. You have witnessed, I think 16 presidents over the course of your lifetime. Donald Trump being the 16th. How does Trump stack up against the rest of them? Is he sui generis in your view?","Yeah, he’s off the spectrum. But the fact is that that’s true of the Republican Party generally. Two well-known commentators from the American Enterprise Institute, Thomas Mann and Norman Orenstein years ago, described the Republican Party since Newt Gingrich as a radical insurgency that has abandoned parliamentary politics, and is now often a different dimension. What’s actually happened is that during the neoliberal period both of the political parties have shifted to the right. So the mainstream Democrats, the ones who are now meeting with their billionaire friends to try to figure out how to get rid of Sanders and Warren, they’re basically what used to be called moderate Republicans. The Democrats abandoned the working class by the late ’70s. The last bit of a show of interest was the Humphrey Hawkins 1978 Full Employment Bill which Carter watered down so that it had no teeth. And after that, they kind of gave up. They handed the working class over to their class enemy, the Republicans who try to mobilize them on what are called cultural issues. They’re shafting them at every turn, including Trump, but you can try to mobilize them on the basis of abortion, immigrants, guns, anything but the real issues."
